Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
GDP per capita (current US$),NY.GDP.PCAP.CD,Comoros,COM,654.18043075023,691.041978010695,761.947888181814,959.228987622236,1090.42716869473,1103.19541672121,1155.08567466696,1289.79485002143,1454.65090911658,1409.10667349496,1384.06328381602,1526.83263817748,1483.95155852994,1595.9898185586,1608.68787502172,1322.93677459988,1357.26622888827,1414.58668930422,1531.33781085759,1510.79732262852,1519.58677981634,1577.47084066126,1484.89246472542
GDP per capita (current US$),NY.GDP.PCAP.CD,"Congo, Dem. Rep.",COD,392.626333784131,148.447123509623,168.944805273879,167.981575409282,187.856781029954,211.572629664001,247.54193564633,277.612079551534,317.88921008113,290.155675073525,324.827726109271,376.374981129973,412.776260544995,444.864357559096,472.266235725533,482.064568638238,456.027950583624,451.089088517319,546.212593203883,575.882781366465,524.666686211495,576.974729394136,653.656223069354
GDP per capita (current US$),NY.GDP.PCAP.CD,"Congo, Rep.",COG,1029.96068881894,859.440012475987,910.869710766426,1023.08849619066,1314.41128060735,1810.58894236459,2116.86894319341,2219.91230676263,2848.6531631791,2283.94987239428,2962.76248130765,3415.06237416639,3753.86092808102,3719.6510360643,3623.80745981756,2455.34791009784,2107.5030239722,2227.72013856074,2715.24310477161,2508.9447830009,2011.2694790099,2540.47321153317,2649.22502230642
GDP per capita (current US$),NY.GDP.PCAP.CD,Costa Rica,CRI,3773.03379319679,3941.59864349203,4021.42536130228,4123.5064871039,4376.08042847261,4643.45856992587,5188.361792249,6055.08677887203,6841.9114600079,6737.8607505315,8147.24398493375,9137.4551007756,9971.65165576585,10633.2665504623,10737.6788811529,11529.9551730192,11899.8139833748,12118.1336248174,12383.1499522763,12669.3411549351,12179.2566735195,12604.0488374731,13365.3563992692
GDP per capita (current US$),NY.GDP.PCAP.CD,Cote d'Ivoire,CIV,986.777352839567,974.77998497188,1020.95049150423,1173.06388178349,1267.76482295105,1267.08731129988,1303.56496674267,1451.232530741,1683.33750453768,1638.80468426443,1654.17795876208,1701.7046408106,1649.3016148365,1903.05422934098,2124.01943008462,1941.58189772117,1999.19537159383,2113.34152528591,2295.54033462887,2290.78737894927,2349.06988200418,2613.3788930684,2486.41219394248
GDP per capita (current US$),NY.GDP.PCAP.CD,Croatia,HRV,4952.37775298931,5364.01024143422,6219.47321325884,8192.32263343511,9723.38102385632,10446.3614889222,11505.399839938,13762.4562630334,15898.7998960876,14421.1714758536,13693.5000292691,14655.8743881973,13439.6645555189,13979.1855602956,14001.1603438958,12098.5120254631,12579.9227031481,13592.2545240617,15040.0369182791,15120.9029026824,14269.9088549332,17809.0323901126,18570.4039968345
GDP per capita (current US$),NY.GDP.PCAP.CD,Cuba,CUB,2752.20378269319,2844.24443674985,3007.19307369322,3205.68839767994,3403.29616311163,3791.87300608904,4336.87332999361,4814.85487568512,4992.82449445836,5094.43756186586,5275.53260105122,6106.0067919258,6467.33791422804,6814.24384354868,7117.53573456326,7683.74025365669,8055.92586780018,8543.33006731328,8831.91040872027,9139.38051005519,9499.57250428248,48436.3789682857,56495.8534866201
GDP per capita (current US$),NY.GDP.PCAP.CD,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,19426.3264002202,19809.8223170482,19721.292182955,19623.0300713664,19361.8129630226,18944.0962772875,18938.2440965187,19119.1244887029,19220.6865793075,16356.0933254541,17979.9982909306,20501.7522782219
GDP per capita (current US$),NY.GDP.PCAP.CD,Cyprus,CYP,14388.34765625,14821.447265625,16093.21484375,20252.23828125,23792.62109375,24959.259765625,26729.32421875,31244.92578125,35397.36328125,32109.2421875,31023.267578125,32395.75390625,28910.74609375,27727.53515625,27162.322265625,23408.44140625,24605.349609375,26608.6953125,29335.046875,29420,28281.42578125,32745.84375,32048.240234375
GDP per capita (current US$),NY.GDP.PCAP.CD,Czechia,CZE,6029.03819275358,6637.04165713981,8060.86870292424,9818.56849307488,11749.8526643577,13430.6698955613,15261.7975911138,18466.5479299216,22804.5776774507,19861.6974295256,19960.0684872157,21871.2660754128,19870.8012123403,20133.1691431353,19890.9199056648,17829.6983223668,18575.2320271915,20636.199952435,23424.4804601855,23664.8478631108,22992.8793833348,26822.5141862111,27223.0451937676
